subid,gender,trial,run,conds,offer_pro,offer_self,offer_tp,RT,choice,
102,1,6,2,2,7,6,2,0.469,1
102,1,7,2,4,13,1,1,0.434,1
102,1,8,2,2,7,7,1,0.43,1
102,1,9,2,1,6,4,5,0.401,1
102,1,10,2,4,11,2,2,0.758,1
102,1,11,2,1,5,5,5,0.424,1
102,1,12,2,4,12,2,1,0.71,1
102,1,13,2,3,7,2,6,0.447,1
102,1,14,2,3,7,1,7,0.638,1
102,1,15,2,2,7,7,1,0.644,1
102,1,16,2,2,7,6,2,0.416,1
102,1,17,2,2,7,7,1,0.387,1
102,1,18,2,1,6,4,5,1.29,1
102,1,19,2,4,11,2,2,0.837,1
102,1,20,2,2,8,6,1,0.489,1
102,1,21,2,3,7,1,7,0.402,1
102,1,22,2,1,6,5,4,0.659,1
102,1,23,2,4,12,2,1,0.973,1
102,1,24,2,3,8,1,6,2.624,1
102,1,25,2,1,5,5,5,0.67,1
102,1,26,2,1,6,5,4,0.816,1
102,1,27,2,4,12,1,2,0.743,1
102,1,28,2,3,8,1,6,0.526,1
102,1,29,2,2,7,6,2,0.967,1
102,1,30,2,4,13,1,1,0.515,1
102,1,31,2,3,7,1,7,0.415,1
102,1,32,2,1,5,5,5,0.526,1
102,1,33,2,1,5,5,5,0.497,1
102,1,34,2,3,7,1,7,0.585,1
102,1,35,2,3,7,2,6,0.511,1
102,1,36,2,2,7,7,1,0.576,1
102,1,37,2,3,7,2,6,0.515,1
102,1,38,2,2,8,6,1,0.471,1
102,1,39,2,4,12,1,2,0.608,1
102,1,40,2,1,6,5,4,0.543,1
103,1,1,1,3,7,1,7,0.384,2
103,1,2,1,4,11,2,2,0.323,1
103,1,3,1,3,7,1,7,0.546,2
103,1,4,1,1,6,5,4,0.787,1
103,1,5,1,4,11,2,2,0.669,1
103,1,6,1,3,8,1,6,0.487,2
103,1,7,1,2,7,7,1,0.357,1
103,1,8,1,1,5,5,5,0.598,1
103,1,9,1,4,13,1,1,0.751,2
103,1,10,1,2,7,6,2,0.704,1
103,1,11,1,4,13,1,1,0.286,2
103,1,12,1,2,8,6,1,0.335,1
103,1,13,1,4,12,1,2,0.347,2
103,1,14,1,2,8,6,1,0.433,1
103,1,15,1,4,12,2,1,0.475,2
103,1,16,1,3,7,2,6,0.622,2
103,1,17,1,1,6,4,5,0.683,1
103,1,18,1,3,7,1,7,0.429,2
